statefips,age,hrslastwk,unempwks,wagehr,earnwk,ownchild,educ,gender,metro,race,hispanic,marstatus,lfstatus,ottipcomm,hourly,unionstatus
LA,39,86,NA,12.84,570.99,3,14,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
WA,41,NA,12,NA,NA,2,13,Female,Metro,White,Non-hispanic,Married,Unemployed,NA,NA,NA
ND,41,40,NA,18.6,744,2,14,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NC,42,NA,NA,NA,NA,2,0,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
AR,46,NA,NA,NA,NA,2,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NM,47,45,NA,NA,692.3,1,9,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
ND,48,40,NA,10,200,1,12,Female,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
CT,40,35,NA,18,500,1,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
ME,54,41,NA,39,1404,0,14,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
AZ,41,NA,NA,NA,NA,3,12,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
CA,46,40,NA,22,880,2,12,Female,Metro,Other,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
NV,59,40,NA,NA,1538.46,2,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IL,32,41,NA,24.75,1038.46,0,16,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AK,35,NA,NA,NA,NA,0,13,Female,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
SC,39,28,NA,25,1000,0,15,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
NC,54,35,NA,NA,500,0,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
LA,33,45,NA,13,715,3,14,Female,Metro,Black,Non-hispanic,Divorced,Employed,Yes,Hourly,Non-union
AL,37,40,NA,16.8,672,2,13,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,49,40,NA,NA,1923.07,0,14,Female,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
WV,52,NA,117,NA,NA,0,7.5,Male,Non-metro,White,Non-hispanic,Divorced,Unemployed,NA,NA,NA
OR,41,45,NA,15.5,674.75,1,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
NY,51,50,NA,NA,1107.69,2,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,33,NA,NA,NA,NA,0,15,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
AK,32,40,NA,14.07,562.8,3,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,39,NA,NA,NA,NA,1,12,Male,Non-metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
LA,41,NA,NA,NA,NA,0,12,Male,Metro,Other,Non-hispanic,Never married,Not in LF,NA,NA,NA
SC,57,NA,NA,NA,NA,0,12,Female,Metro,Black,Non-hispanic,Widowed,Not in LF,NA,NA,NA
MS,31,40,NA,18.2,728,2,10,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
WA,46,38,NA,14,532,0,15,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,30,43,NA,NA,442.3,3,12,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Union
WV,56,NA,NA,NA,NA,1,12,Male,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
FL,35,40,NA,NA,1307.69,3,14,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IL,50,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
PA,50,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
NE,37,42,NA,NA,576.92,3,11,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
NE,55,NA,4,NA,NA,4,12,Female,Metro,Other,Non-hispanic,Married,Unemployed,NA,NA,NA
TN,36,NA,NA,NA,NA,0,12,Male,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
SD,39,40,NA,NA,500,2,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NC,40,NA,NA,NA,NA,2,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,42,NA,NA,NA,NA,0,2.5,Male,Metro,White,Hispanic,Divorced,Not in LF,NA,NA,NA
IN,37,12,NA,35,350,3,15,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
FL,40,35,NA,14,769,0,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
FL,53,NA,NA,NA,NA,0,14,Female,Metro,Other,Hispanic,Married,Not in LF,NA,NA,NA
AL,46,51,NA,15,950,0,12,Female,Metro,White,Non-hispanic,Widowed,Employed,Yes,Hourly,Non-union
FL,37,40,NA,14.25,570,0,12,Female,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
IN,56,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,53,40,NA,10.25,410,0,9,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
IN,32,40,NA,16,640,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,30,40,NA,11,440,4,12,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
GA,42,NA,NA,NA,NA,1,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OK,45,40,NA,10,400,1,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,49,40,NA,42,1538.46,2,14,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Union
NJ,46,65,NA,NA,5916.89,2,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
HI,30,NA,NA,NA,NA,4,12,Female,Non-metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
PA,55,40,NA,13,520,0,12,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
TX,35,40,NA,12,703.5,3,7.5,Female,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
NY,40,45,NA,NA,6364.21,2,13,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IN,43,45,NA,10.5,420,1,11,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
WA,53,40,NA,18,720,0,15,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Union
MT,48,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
DC,38,NA,56,NA,NA,0,14,Female,Metro,Black,Non-hispanic,Married,Unemployed,NA,NA,NA
AR,30,40,NA,10.5,420,0,11,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
HI,50,40,NA,15,600,0,9,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
TN,41,NA,NA,NA,NA,0,10,Female,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
NY,56,NA,NA,NA,NA,2,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
AZ,38,40,NA,NA,2115,2,9,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
ID,41,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
MO,43,35,NA,23,805,3,13,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MD,51,60,NA,NA,1923,1,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MA,34,32,NA,20,640,3,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
ND,51,40,NA,NA,669.23,1,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
KY,37,NA,NA,NA,NA,1,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MT,47,40,NA,21,840,0,16,Female,Non-metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,51,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Divorced,Not in LF,NA,NA,NA
AL,59,40,NA,14,560,0,12,Male,Metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
FL,45,40,NA,NA,673.07,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MN,56,5,NA,12,360,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,40,NA,NA,NA,NA,0,12,Female,Metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
NC,41,35,NA,11.25,393.75,1,11,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
ND,46,41,NA,14.4,576,0,13,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
DE,43,40,NA,25,1000,2,12,Male,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
AK,53,NA,NA,NA,NA,0,12,Male,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
IL,39,40,NA,NA,950,0,18,Male,Metro,Other,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
IA,50,NA,NA,NA,NA,2,9,Female,Non-metro,White,Hispanic,Married,Not in LF,NA,NA,NA
VA,47,20,NA,NA,500,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NJ,33,30,NA,10,300,0,5.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
NM,48,NA,NA,NA,NA,0,12,Female,Non-metro,Other,Non-hispanic,Divorced,Not in LF,NA,NA,NA
KY,34,40,NA,16,640,2,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
GA,56,NA,NA,NA,NA,0,10,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,43,60,NA,NA,1407.69,4,10,Male,Metro,White,Hispanic,Married,Employed,Yes,Non-hourly,Non-union
CA,37,29,NA,12,400,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MD,56,NA,NA,NA,NA,1,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,38,46,NA,NA,1121.15,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
NE,31,45,NA,NA,1500,1,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NC,40,NA,NA,NA,NA,0,9,Female,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
CA,56,40,NA,NA,1153.84,1,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
WI,51,44,NA,15.5,620,0,14,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,55,40,NA,14,560,1,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WY,40,40,NA,24,960,1,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
PA,38,40,NA,NA,19,0,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
DC,31,45,NA,NA,1384.61,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
SD,33,40,NA,29,1160,3,16,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AZ,48,NA,NA,NA,NA,2,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
LA,30,NA,NA,NA,NA,0,12,Male,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
TX,36,60,NA,NA,1891.92,2,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
PA,56,40,NA,35,1400,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
CA,45,71,NA,17,646,2,12,Male,Non-metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
NJ,55,60,NA,NA,1730.76,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,55,40,NA,NA,1365.38,2,18,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,45,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Widowed,Not in LF,NA,NA,NA
HI,49,40,NA,42.44,1697.6,0,12,Female,Metro,Other,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CT,44,40,NA,21,840,0,11,Male,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
CA,45,32,NA,12,384,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
VT,53,50,NA,35,1980.77,0,18,Female,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
MI,50,43,NA,9.8,210,0,11,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,30,40,NA,13,520,0,14,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
HI,42,24,NA,17,450,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
MA,33,40,NA,NA,1150,1,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
MS,52,NA,NA,NA,NA,0,12,Female,Non-metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
MA,55,40,NA,NA,961.53,1,18,Female,Metro,Other,Hispanic,Married,Employed,No,Non-hourly,Non-union
TN,39,50,NA,12,600,0,14,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
TN,42,NA,8,NA,NA,0,12,Male,Metro,Other,Non-hispanic,Married,Unemployed,NA,NA,NA
TX,35,40,NA,11,440,0,10,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
CO,52,40,NA,NA,673.07,0,14,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
VT,48,NA,NA,NA,NA,1,12,Male,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
TX,39,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
OH,48,16,NA,14,504,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
DE,56,40,NA,10.25,507.69,0,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,35,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
CO,45,34,NA,NA,1134.61,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
OK,56,24,NA,NA,200,0,11,Female,Metro,White,Non-hispanic,Widowed,Employed,No,Non-hourly,Non-union
ID,48,40,NA,NA,2596.15,2,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
VA,59,NA,NA,NA,NA,0,16,Female,Metro,White,Non-hispanic,Widowed,Not in LF,NA,NA,NA
MA,47,32,NA,15.35,491.2,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
VA,55,40,NA,18.45,350,0,12,Female,Non-metro,Black,Non-hispanic,Widowed,Employed,No,Hourly,Non-union
HI,31,40,NA,18,600,2,12,Male,Metro,Other,Non-hispanic,Married,Employed,Yes,Hourly,Union
WA,34,40,NA,24,1160,0,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
UT,38,NA,NA,NA,NA,4,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TX,33,NA,NA,NA,NA,3,16,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NV,55,65,NA,11,715,0,10,Female,Metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
KY,59,NA,NA,NA,NA,0,10,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
TX,45,55,NA,23.56,1110.2,0,12,Female,Metro,Black,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
MT,32,40,NA,NA,480.76,0,12,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
KY,34,45,NA,26,900,2,15,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
VA,36,40,NA,NA,700,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
UT,55,40,NA,NA,942.3,0,15,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Union
TX,35,40,NA,NA,775,2,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TN,37,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
FL,30,50,NA,17.5,1057.69,2,14,Male,Metro,Black,Hispanic,Married,Employed,No,Hourly,Non-union
CA,30,NA,NA,NA,NA,4,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
MT,31,45,NA,NA,1846.15,2,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
DC,36,40,NA,NA,2692.3,2,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
VT,49,37,NA,12,410,1,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
VT,30,40,NA,32,1280,0,12,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,41,NA,NA,NA,NA,1,12,Male,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
CA,34,36,NA,11.15,334.5,0,18,Female,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
RI,38,24,NA,20,800,1,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
VA,54,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
IL,58,NA,NA,NA,NA,1,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WA,53,43,NA,13.5,540,2,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,55,60,NA,NA,903.84,2,15,Male,Metro,Black,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
TX,58,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
AK,54,NA,NA,NA,NA,4,13,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NC,58,NA,119,NA,NA,0,10,Male,Metro,White,Non-hispanic,Divorced,Unemployed,NA,NA,NA
SC,31,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
CA,48,51,NA,NA,865,1,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NE,51,40,NA,14.5,580,0,14,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
MS,45,NA,NA,NA,NA,0,16,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,37,35,NA,12,432,4,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
MI,59,25,NA,10,250,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
MS,35,NA,NA,NA,NA,0,10,Male,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
MS,35,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WV,40,40,NA,15.09,600,1,13,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,32,45,NA,27,1280,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
DE,45,40,NA,NA,615.38,0,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
DC,44,40,NA,18,720,0,14,Male,Metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Union
FL,55,20,NA,NA,153.84,0,16,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
NY,55,70,NA,NA,1730.76,0,14,Female,Metro,Black,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IA,31,40,NA,13.4,536,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,59,NA,NA,NA,NA,0,14,Male,Metro,Other,Non-hispanic,Divorced,Not in LF,NA,NA,NA
UT,40,40,NA,NA,675,4,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
DC,48,NA,NA,NA,NA,0,9,Male,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
AZ,49,40,NA,NA,1346.15,3,14,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
TN,54,40,NA,13.5,540,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
VA,42,25,NA,NA,442.3,0,12,Female,Metro,White,Hispanic,Never married,Employed,No,Non-hourly,Non-union
WA,36,10,NA,10,100,1,7.5,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,30,NA,NA,NA,NA,0,12,Female,Metro,Black,Hispanic,Never married,Not in LF,NA,NA,NA
VA,50,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,55,NA,NA,NA,NA,0,10,Female,Metro,Other,Non-hispanic,Divorced,Not in LF,NA,NA,NA
LA,38,40,NA,14,560,1,12,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
ND,43,40,NA,NA,969.23,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
SC,32,NA,NA,NA,NA,2,12,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
NE,56,40,NA,NA,1653.84,0,15,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
MO,48,40,NA,18,720,0,12,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Union
WV,59,40,NA,52,2080,0,13,Male,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
TX,48,55,NA,NA,1634.61,0,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
CA,56,40,NA,NA,1365,0,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Union
MS,59,NA,NA,NA,NA,0,18,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
VA,52,20,NA,18,360,0,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
OH,52,40,NA,18.27,730.8,0,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
OH,33,40,NA,NA,1153.84,1,15,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
LA,37,NA,NA,NA,NA,0,13,Female,Metro,Black,Hispanic,Never married,Not in LF,NA,NA,NA
OK,30,NA,NA,NA,NA,0,12,Male,Metro,White,Hispanic,Divorced,Not in LF,NA,NA,NA
VA,47,40,NA,21,840,0,11,Female,Metro,Black,Non-hispanic,Married,Employed,Yes,Hourly,Union
AR,47,40,NA,23,1229,0,13,Female,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
